,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
79,50,21,20,13,4,629,3.0,20,20,4,7,2.0,-4.0,0,2.0,-4.0,3,3,3.0,2.0,9.0,9.0
81,50,21,22,1,4,300,3.0,87,87,1,10,37.0,2.0,3,37.0,2.0,0,3,4.0,3.0,7.0,7.0
82,50,21,22,2,4,270,3.0,59,59,1,10,28.0,37.0,3,28.0,37.0,3,0,1.0,4.0,10.0,10.0
83,50,21,22,3,4,210,3.0,54,54,2,5,5.0,28.0,3,5.0,28.0,3,3,1.0,1.0,10.0,10.0
84,50,21,22,4,4,180,3.0,54,54,3,5,0.0,5.0,3,0.0,5.0,3,3,2.0,1.0,5.0,5.0
85,50,21,22,5,4,131,3.0,51,51,4,2,3.0,0.0,2,3.0,0.0,3,3,3.0,2.0,5.0,5.0
86,0,0,1,2,1,899,3.0,25,75,1,10,,,1,,,4,4,,,,
87,0,0,1,3,1,872,3.0,34,66,2,1,9.0,,3,9.0,,1,4,1.0,,10.0,10.0
88,0,0,1,4,1,839,3.0,41,59,1,10,7.0,9.0,3,7.0,9.0,3,1,2.0,1.0,1.0,1.0
89,0,0,1,5,1,810,3.0,42,58,2,9,1.0,7.0,1,1.0,7.0,3,3,1.0,2.0,10.0,10.0
90,0,0,1,6,1,793,3.0,56,44,1,10,14.0,1.0,1,14.0,1.0,1,3,2.0,1.0,9.0,9.0
91,0,0,1,7,1,786,3.0,56,44,2,10,0.0,14.0,1,0.0,14.0,1,1,1.0,2.0,10.0,10.0
92,0,0,1,8,1,764,3.0,68,32,1,10,12.0,0.0,1,12.0,0.0,1,1,2.0,1.0,10.0,10.0
93,0,0,1,9,1,741,3.0,89,11,1,10,21.0,12.0,1,21.0,12.0,1,1,1.0,2.0,10.0,10.0
94,0,0,1,10,1,736,3.0,89,11,2,10,0.0,21.0,1,0.0,21.0,1,1,1.0,1.0,10.0,10.0
95,0,0,1,11,1,728,3.0,89,11,3,10,0.0,0.0,3,0.0,0.0,1,1,2.0,1.0,10.0,10.0
96,3,0,1,12,1,691,3.0,90,10,4,9,1.0,0.0,0,1.0,0.0,3,1,3.0,2.0,10.0,10.0
98,3,0,3,1,1,503,3.0,10,90,1,10,27.0,1.0,3,27.0,1.0,0,3,4.0,3.0,9.0,9.0
99,3,0,3,2,1,464,3.0,14,86,2,6,4.0,27.0,3,4.0,27.0,3,0,1.0,4.0,10.0,10.0
100,3,0,3,3,1,432,3.0,14,86,3,6,0.0,4.0,1,0.0,4.0,3,3,2.0,1.0,6.0,6.0
103,3,0,3,6,1,355,3.0,11,89,2,20,2.0,0.0,3,2.0,0.0,1,3,3.0,2.0,6.0,6.0
104,3,0,3,7,1,331,3.0,17,83,3,14,6.0,2.0,1,6.0,2.0,3,1,2.0,3.0,20.0,20.0
105,3,0,3,8,1,294,3.0,27,73,4,4,10.0,6.0,2,10.0,6.0,1,3,3.0,2.0,14.0,14.0
106,3,0,5,1,1,0,3.0,12,88,1,10,0.0,10.0,3,0.0,10.0,2,1,4.0,3.0,4.0,4.0
108,3,0,5,3,2,900,3.0,14,86,2,8,2.0,0.0,3,2.0,0.0,3,2,1.0,4.0,10.0,10.0
109,3,0,5,4,2,878,3.0,13,87,3,9,-1.0,2.0,3,-1.0,2.0,3,3,2.0,1.0,8.0,8.0
110,3,0,5,5,2,824,3.0,19,81,4,3,6.0,-1.0,2,6.0,-1.0,3,3,3.0,2.0,9.0,9.0
112,3,0,7,2,2,664,3.0,12,88,2,11,6.0,6.0,1,6.0,6.0,2,3,4.0,3.0,3.0,3.0
113,3,0,7,3,2,657,3.0,12,88,3,11,0.0,6.0,1,0.0,6.0,1,2,2.0,4.0,11.0,11.0
114,3,0,7,4,2,644,3.0,12,88,4,11,0.0,0.0,2,0.0,0.0,1,1,3.0,2.0,11.0,11.0
115,3,0,9,1,2,541,3.0,22,78,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,11.0,11.0
116,3,0,9,2,2,520,3.0,28,72,2,4,6.0,0.0,3,6.0,0.0,1,2,1.0,4.0,10.0,10.0
117,3,0,9,3,2,484,3.0,26,74,3,6,-2.0,6.0,1,-2.0,6.0,3,1,2.0,1.0,4.0,4.0
118,3,0,9,4,2,471,3.0,26,74,4,6,0.0,-2.0,2,0.0,-2.0,1,3,3.0,2.0,6.0,6.0
119,3,6,11,2,2,96,2.0,25,75,1,10,0.0,0.0,3,0.0,0.0,2,1,4.0,3.0,6.0,6.0
120,3,6,11,3,2,68,2.0,27,73,2,8,2.0,0.0,1,2.0,0.0,3,2,1.0,4.0,10.0,10.0
121,3,6,11,4,2,52,2.0,38,62,1,10,11.0,2.0,1,11.0,2.0,1,3,2.0,1.0,8.0,8.0
122,3,6,11,5,2,43,2.0,52,48,1,10,14.0,11.0,1,14.0,11.0,1,1,1.0,2.0,10.0,10.0
123,3,6,11,6,2,30,2.0,63,37,1,10,11.0,14.0,1,11.0,14.0,1,1,1.0,1.0,10.0,10.0
124,3,6,11,7,2,24,2.0,63,37,2,10,0.0,11.0,3,0.0,11.0,1,1,1.0,1.0,10.0,10.0
126,3,6,11,9,2,17,1.0,67,33,3,6,4.0,0.0,1,4.0,0.0,3,1,2.0,1.0,10.0,10.0
127,10,6,11,10,2,2,1.0,80,20,1,10,13.0,4.0,1,13.0,4.0,1,3,3.0,2.0,6.0,6.0
131,10,13,14,2,3,652,3.0,25,75,1,10,20.0,13.0,1,20.0,13.0,1,1,1.0,3.0,10.0,10.0
132,10,13,14,3,3,632,3.0,32,68,2,3,7.0,20.0,1,7.0,20.0,1,1,1.0,1.0,10.0,10.0
133,10,13,14,4,3,629,3.0,32,68,3,3,0.0,7.0,3,0.0,7.0,1,1,2.0,1.0,3.0,3.0
134,10,13,14,5,3,587,3.0,34,66,4,1,2.0,0.0,3,2.0,0.0,3,1,3.0,2.0,3.0,3.0
135,10,13,14,6,3,543,3.0,36,64,1,10,2.0,2.0,1,2.0,2.0,3,3,4.0,3.0,1.0,1.0
136,10,13,14,7,3,522,3.0,43,57,2,3,7.0,2.0,3,7.0,2.0,1,3,1.0,4.0,10.0,10.0
137,10,13,14,8,3,504,3.0,48,52,1,10,5.0,7.0,1,5.0,7.0,3,1,2.0,1.0,3.0,3.0
138,10,13,14,9,3,486,3.0,61,39,1,10,13.0,5.0,1,13.0,5.0,1,3,1.0,2.0,10.0,10.0
139,10,13,14,10,3,472,3.0,66,34,2,5,5.0,13.0,3,5.0,13.0,1,1,1.0,1.0,10.0,10.0
140,10,13,14,11,3,457,3.0,72,28,1,10,6.0,5.0,1,6.0,5.0,3,1,2.0,1.0,5.0,5.0
141,10,13,14,12,3,448,3.0,72,28,2,10,0.0,6.0,1,0.0,6.0,1,3,1.0,2.0,10.0,10.0
142,10,13,14,13,3,409,3.0,75,25,3,7,3.0,0.0,3,3.0,0.0,1,1,2.0,1.0,10.0,10.0
144,13,13,14,15,3,375,2.0,79,21,4,3,4.0,3.0,0,4.0,3.0,3,1,3.0,2.0,7.0,7.0
147,13,13,16,2,3,233,2.0,61,39,1,10,39.0,4.0,3,39.0,4.0,0,3,4.0,3.0,3.0,3.0
148,13,13,16,3,3,194,2.0,61,39,2,10,0.0,39.0,3,0.0,39.0,3,0,1.0,4.0,10.0,10.0
149,13,13,16,4,3,160,2.0,65,35,3,6,4.0,0.0,1,4.0,0.0,3,3,2.0,1.0,10.0,10.0
150,13,13,16,5,3,136,2.0,76,24,1,10,11.0,4.0,3,11.0,4.0,1,3,3.0,2.0,6.0,6.0
151,20,13,16,6,3,88,2.0,78,22,2,8,2.0,11.0,1,2.0,11.0,3,1,1.0,3.0,10.0,10.0
153,20,20,18,2,4,600,2.0,25,75,1,10,22.0,2.0,1,22.0,2.0,1,3,2.0,1.0,8.0,8.0
154,20,20,18,3,4,574,2.0,31,69,2,4,6.0,22.0,3,6.0,22.0,1,1,1.0,2.0,10.0,10.0
156,20,20,18,5,4,526,2.0,41,59,1,10,0.0,6.0,1,0.0,6.0,3,1,2.0,1.0,4.0,4.0
158,20,20,18,7,4,509,2.0,56,44,1,10,0.0,0.0,3,0.0,0.0,1,3,1.0,2.0,10.0,10.0
159,20,20,18,8,4,458,2.0,57,43,2,9,1.0,0.0,3,1.0,0.0,3,1,1.0,1.0,10.0,10.0
160,20,20,18,9,4,419,2.0,55,45,3,11,-2.0,1.0,1,-2.0,1.0,3,3,2.0,1.0,9.0,9.0
162,20,20,18,11,4,345,2.0,59,41,4,7,9.0,-2.0,2,9.0,-2.0,1,3,3.0,2.0,11.0,11.0
